Azerbaijan,101391770,3.9E-05,4.9E-05,4.9E-05,3.9E-05,2E-05,3.9E-05,2E-05,4.9E-05,3E-05,4.9E-05,2E-05,3E-05,2E-05,2E-05,2E-05,1E-05,2E-05,0,3E-05,2E-05,1E-05,2E-05,1E-05,1E-05,3E-05,0,1E-05,0,2E-05,1E-05,0,1E-05,3E-05,0,0,2E-05,0,1E-05,0,0,1E-05,1E-05,1E-05,0,1E-05,0,0,1E-05,0,0,1E-05,0,1E-05,3E-05,0,2E-05,0,1E-05,1E-05,0,1E-05,1E-05,1E-05,0,1E-05,0,2E-05,0,0,0,0,1E-05,0,0,1E-05,0,1E-05,1E-05,0,0,0,0,0,0,0,0,0,0,0,1E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,3932440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509,0,0,0,0,0,0.000254,0,0,0,0,0,0,0,0.000254,0.000254,0.000254,0.000254,0,0.000763,0,0,0.000254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,17015750,0.000118,0.000118,5.9E-05,0.000118,0.000118,5.9E-05,5.9E-05,5.9E-05,0,0,0.000118,0.000118,0,0,5.9E-05,0,0,5.9E-05,5.9E-05,0,0,0,0,0,0,0,0.000118,0,5.9E-05,5.9E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9E-05,0,0,0,0,0,0,0,0,5.9E-05,0,0,0,5.9E-05,0,0,5.9E-05,0,0,0,0,0,0,0,0,0,0,0,0,5.9E-05,5.9E-05,0,5.9E-05,0,0,0,0,0,5.9E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,1646893830,2.2E-05,2.7E-05,2.6E-05,2.6E-05,2.1E-05,1.8E-05,2.1E-05,2.2E-05,2.2E-05,1.3E-05,2.4E-05,1.7E-05,1.4E-05,9E-06,1.3E-05,1.3E-05,1.3E-05,1.7E-05,1.2E-05,1.5E-05,1.3E-05,1E-05,1.3E-05,1.3E-05,9E-06,1E-05,9E-06,9E-06,1.2E-05,7E-06,7E-06,9E-06,5E-06,4E-06,8E-06,2E-06,1E-06,3E-06,1E-06,3E-06,1E-06,3E-06,5E-06,2E-06,4E-06,3E-06,5E-06,2E-06,4E-06,6E-06,5E-06,6E-06,4E-06,5E-06,9E-06,6E-06,2E-06,4E-06,3E-06,2E-06,2E-06,4E-06,1E-06,2E-06,3E-06,2E-06,1E-06,1E-06,0,0,1E-06,0,0,0,0,0,0,1E-06,1E-06,1E-06,0,1E-06,0,0,1E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,2873750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000348,0,0,0,0,0,0.000348,0,0,0,0,0,0,0,0.000348,0,0,0,0,0.000348,0,0,0.000348,0.000348,0.000348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,94493230,6.3E-05,6.3E-05,7.4E-05,6.3E-05,4.2E-05,6.3E-05,5.3E-05,5.3E-05,3.2E-05,5.3E-05,6.3E-05,5.3E-05,5.3E-05,5.3E-05,6.3E-05,4.2E-05,5.3E-05,5.3E-05,4.2E-05,5.3E-05,6.3E-05,4.2E-05,4.2E-05,6.3E-05,5.3E-05,4.2E-05,5.3E-05,5.3E-05,4.2E-05,7.4E-05,4.2E-05,5.3E-05,5.3E-05,5.3E-05,4.2E-05,5.3E-05,4.2E-05,4.2E-05,2.1E-05,4.2E-05,4.2E-05,5.3E-05,5.3E-05,4.2E-05,3.2E-05,5.3E-05,4.2E-05,3.2E-05,2.1E-05,3.2E-05,4.2E-05,4.2E-05,2.1E-05,3.2E-05,2.1E-05,4.2E-05,3.2E-05,4.2E-05,3.2E-05,3.2E-05,4.2E-05,3.2E-05,3.2E-05,0,0,5.3E-05,3.2E-05,1.1E-05,0,2.1E-05,1.1E-05,1.1E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,115896230,8.6E-05,0.000112,9.5E-05,0.000129,0.000121,0.000155,0.000224,0.000147,0.000164,0.000164,0.000121,0.000198,0.000362,0.000207,0.000259,0.00019,0.000276,0.000371,0.000216,0.000224,0.000311,0.000362,0.000242,0.000242,0.000406,0.000397,0.000483,0.000518,0.000708,0.000466,0.00044,0.000647,0.000518,0.000915,0.000656,0.002787,0.000794,0.00069,0.000682,0.000535,0.00094,0.000802,0.001467,0.00107,0.000975,0.001527,0.002054,0.001631,0.001967,0.002278,0.001467,0.001251,0.001985,0.002502,0.00264,0.003598,0.002442,0.002192,0.002614,0.002192,0.002821,0.00428,0.002442,0.001769,0.003477,0.001596,0.001415,0.001208,0.001139,0.001579,0.001061,0.001657,0.000708,0.000673,0.000552,0.000595,0.000362,0.000483,0.000293,0.000112,6.9E-05,0.000259,0.000138,6E-05,3.5E-05,4.3E-05,9E-06,0,9E-06,0,0,2.6E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,3976280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251,0,0,0,0.000251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,121232000,0,0,8E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,7716080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,116730210,0.000214,0.000103,8.6E-05,9.4E-05,0.000231,0.000103,0.000129,0.000206,0.000283,0.000257,2.6E-05,8.6E-05,6E-05,0.000111,5.1E-05,0.000111,9.4E-05,8.6E-05,8.6E-05,0.000129,0.000137,8.6E-05,0.000129,4.3E-05,3.4E-05,9E-06,0.000103,8.6E-05,0.00012,5.1E-05,3.4E-05,3.4E-05,6.9E-05,3.4E-05,9.4E-05,4.3E-05,3.4E-05,5.1E-05,4.3E-05,4.3E-05,3.4E-05,2.6E-05,3.4E-05,1.7E-05,2.6E-05,3.4E-05,1.7E-05,9E-06,5.1E-05,2.6E-05,9E-06,9E-06,9E-06,0,1.7E-05,9E-06,0,9E-06,2.6E-05,3.4E-05,9E-06,9E-06,2.6E-05,9E-06,2.6E-05,9E-06,0,9E-06,9E-06,9E-06,9E-06,1.7E-05,2.6E-05,9E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
